Class Name, Initialization Kind, Reason for Initialization
apple.security.AppleProvider, BUILD_TIME, Core JDK classes are initialized at build time
apple.security.AppleProvider$1, BUILD_TIME, Core JDK classes are initialized at build time
apple.security.AppleProvider$ProviderService, BUILD_TIME, Core JDK classes are initialized at build time
apple.security.KeychainStore, BUILD_TIME, Core JDK classes are initialized at build time
apple.security.KeychainStore$KeyEntry, BUILD_TIME, Core JDK classes are initialized at build time
apple.security.KeychainStore$LocalAttr, BUILD_TIME, Core JDK classes are initialized at build time
apple.security.KeychainStore$TrustedCertEntry, BUILD_TIME, Core JDK classes are initialized at build time
boolean, BUILD_TIME, primitive types are initialized at build time
boolean[], BUILD_TIME, arrays are initialized at build time
boolean[][], BUILD_TIME, arrays are initialized at build time
byte, BUILD_TIME, primitive types are initialized at build time
byte[], BUILD_TIME, arrays are initialized at build time
byte[][], BUILD_TIME, arrays are initialized at build time
byte[][][], BUILD_TIME, arrays are initialized at build time
char, BUILD_TIME, primitive types are initialized at build time
char[], BUILD_TIME, arrays are initialized at build time
char[][], BUILD_TIME, arrays are initialized at build time
char[][][], BUILD_TIME, arrays are initialized at build time
com.apple.laf.ClientPropertyApplicator, BUILD_TIME, from command line with ''
com.apple.laf.ClientPropertyApplicator$Property, BUILD_TIME, from command line with ''
com.oracle.svm.common.option.CommonOptionParser, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.common.option.CommonOptionParser$$Lambda$787/0x0000000300e36ea8, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.common.option.CommonOptionParser$$Lambda$792/0x0000000300e37790, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.common.option.CommonOptionParser$BooleanOptionFormat, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.common.option.CommonOptionParser$BooleanOptionFormat[], BUILD_TIME, arrays are initialized at build time
com.oracle.svm.common.option.CommonOptionParser$OptionParseResult, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.common.option.CommonOptions, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.common.option.LocatableOption, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.common.option.LocatableOption$LocatableOptionValue, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.common.option.MultiOptionValue, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.common.option.UnsupportedOptionClassException, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.CPUFeatureAccess, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.CPUFeatureAccessImpl, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.CalleeSavedRegisters, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.Containers, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.Containers$Options, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.FrameAccess, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.FunctionPointerHolder, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.InvalidMethodPointerHandler, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.IsolateArgumentParser, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.IsolateArgumentParser$OptionValueType, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.IsolateListenerSupport, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.IsolateListenerSupport$IsolateListener, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.IsolateListenerSupport$IsolateListener[], BUILD_TIME, arrays are initialized at build time
com.oracle.svm.core.Isolates, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.JavaMainWrapper, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.JavaMainWrapper$EnterAttachThreadForShutdown, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.JavaMainWrapper$EnterCreateIsolateWithCArgumentsPrologue, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.JavaMainWrapper$JavaMainSupport, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.JavaMemoryUtil, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.LibCHelper, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.NativeSecureRandomFilesCloserTearDownHook, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.RegisterDumper, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.RegisterDumper$Context, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.StaticFieldsSupport, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$DiagnosticLevel, BUILD_TIME, Native Image classes are always initialized at build time
